Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.0016	1.7	3.16	1.00	14.24	0.24
0.0024	2.5	2.91	1.06	14.37	0.369999999999999
0.0032	3.3	3.33	1.06	14.37	0.369999999999999
0.004	4.1	3.16	0.89	14.02	0.02
0.0048	4.9	3.58	0.79	13.83	-0.17
0.0054	5.5	3.66	0.90	14.04	0.039999999999999
0.0062	6.3	3.23	0.88	14	0
0.007	7.1	2.97	0.84	13.93	-0.07
0.0078	7.9	3.23	0.97	14.2	0.199999999999999
0.0086	8.7	3.71	1.02	14.28	0.279999999999999
0.0096	9.7	3.20	0.60	13.46	-0.539999999999999
0.0104	10.5	3.11	0.48	13.21	-0.789999999999999
0.0112	11.3	4.35	0.30	12.84	-1.16
0.0118	11.9	3.65	0.22	12.68	-1.32
0.0128	12.9	4.34	-0.14	11.97	-2.03
0.0136	13.7	3.47	-0.25	11.76	-2.24
0.0148	14.9	4.32	-0.66	10.92	-3.08
0.016	16.1	4.72	-0.80	10.64	-3.36
0.017	17.1	5.07	-1.27	9.72	-4.28
0.0176	17.7	4.82	-1.38	9.49	-4.51
0.0184	18.5	5.05	-1.45	9.35	-4.65
0.0188	18.9	4.70	-1.35	9.56	-4.44
0.0195	19.6	4.97	-1.40	9.46	-4.54
0.0205	20.6	4.71	-1.21	9.83	-4.17
0.0217	21.8	4.99	-1.28	9.69	-4.31
0.0225	22.6	4.42	-1.18	9.9	-4.1
0.0237	23.8	4.93	-1.21	9.83	-4.17
0.0248	24.9	4.62	-1.14	9.96	-4.04
0.0258	25.9	4.82	-1.16	9.94	-4.06
0.0266	26.7	4.77	-1.06	10.14	-3.86
0.0278	27.9	4.46	-0.96	10.33	-3.67
0.0287	28.8	4.59	-0.91	10.43	-3.57
0.0297	29.8	4.30	-0.84	10.57	-3.43
0.0307	30.8	4.65	-0.86	10.52	-3.48
0.0317	31.8	4.52	-0.77	10.71	-3.29
0.0324	32.5	4.54	-0.92	10.41	-3.59
0.0335	33.6	4.28	-0.87	10.51	-3.49
0.0343	34.4	4.80	-0.91	10.43	-3.57
0.0351	35.2	4.48	-0.81	10.64	-3.36
0.0363	36.4	4.67	-0.90	10.45	-3.55
0.0376	37.7	4.18	-0.77	10.72	-3.28
0.0384	38.5	4.59	-0.79	10.67	-3.33
0.0394	39.5	4.35	-0.71	10.84	-3.16
0.0404	40.5	4.57	-0.71	10.82	-3.18
0.0411	41.2	4.38	-0.70	10.86	-3.14
0.0419	42.0	4.20	-0.76	10.72	-3.28
0.043	43.1	4.53	-0.73	10.79	-3.21
0.0442	44.3	4.58	-0.70	10.86	-3.14
0.0454	45.5	4.45	-0.67	10.9	-3.1
0.0465	46.6	4.27	-0.66	10.93	-3.07
0.0475	47.6	4.13	-0.66	10.93	-3.07
0.0483	48.4	4.48	-0.65	10.94	-3.06
